Tijdstempel,What is your age?,What video streaming services do you currently use?,"How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Content selection]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Price]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Video quality]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Layout and easy of use]","How important are the following factors to you when choosing a video streaming service? (Rank in order of importance, with 1 being least important and 5 being most important) [Availability on multiple devices]","Have you ever canceled a video streaming service subscription? If so, why?",Have you ever subscribed to a video streaming service solely to watch a specific show or movie?,How satisfied are you with the overall value of the video streaming services you currently use?,"Are you interested in subscribing to a video streaming service that offers a pay-per-view pricing for individual movies and TV shows, rather than a monthly subscription fee?",What other features or options would you like to see added to video streaming services? (Please specify)
2023/03/20 3:51:26 p.m. EET,18-24,Netflix;YouTube;Stremio,5,4,4,3,1,Content selection was not what I expected,"No, I haven't",Very satisfied,I'm not sure,
2023/03/20 5:43:37 p.m. EET,Under 18 years old,Netflix;YouTube;Stremio ,5,4,4,3,1,,"No, I haven't",Very satisfied,I'm not sure,
2023/03/27 11:59:48 a.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,5,5,4,5,3,Content selection was not what I expected;Price was too high,"Yes, I have",Somewhat satisfied,Yes,
2023/03/27 12:02:46 p.m. EET,18-24,Netflix;YouTube,4,4,5,3,2,Content selection was not what I expected,"No, I haven't",Very satisfied,I'm not sure,"on demand streaming, where you can buy a serie despite not beeing on the platform"
2023/03/27 12:35:18 p.m. EET,18-24,Jellyfin,4,4,5,3,3,Price was too high,"No, I haven't",Very satisfied,No,"Pay-per-view will definitely fail and is something of the old days, a great example of this is Pathe Thuis. People will only like pay-per-view if they get something more in return except for only their couch and TV, take cinemas for example. Another example is Spotify vs iTunes store. Pay-per-view has been shown to fail and will do so, unless you're able to add something so significant that will enhance their experience greatly, but since you're limited by hardware I don't see a way to do so."
2023/03/27 12:38:49 p.m. EET,25-34,YouTube;,4,5,3,3,5,Content selection was not what I expected;Price was too high,"No, I haven't",Somewhat satisfied,No,
2023/03/27 12:43:16 p.m. EET,18-24,YouTube;Movie 2k,5,4,4,4,3,Content selection was not what I expected;Price was too high,"No, I haven't",Somewhat satisfied,Yes,"Ability to save a movie and watch it offline, ability to watch live events like UFC or music concerts"
2023/03/27 12:48:55 p.m. EET,18-24,Netflix;Amazon Prime Video;YouTube;Usenet,5,2,4,1,3,Content selection was not what I expected;Price was too high;Technical issues or poor video quality;User interface was difficult to navigate;Too much advertising,"No, I haven't",Somewhat satisfied,No,Include more high res 4K (preferably also with Dolby ATMOS) content. Lots of content on platform is 1080p while it is already available in higher quality.
2023/03/27 12:53:28 p.m. EET,18-24,Netflix;YouTube,5,5,5,4,5,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,Yes,
2023/03/27 12:55:38 p.m. EET,18-24,Netflix;YouTube;Stremio,5,3,4,2,3,,"No, I haven't",Somewhat satisfied,No,
2023/03/27 12:58:35 p.m. EET,18-24,Netflix;Popcorn Time,5,4,4,4,2,,"No, I haven't",Very satisfied,Yes,none
2023/03/27 12:58:56 p.m. EET,18-24,Netflix;Amazon Prime Video;Disney+;YouTube;HBO Max,5,5,3,1,1,Content selection was not what I expected,"Yes, I have",Somewhat satisfied,No,"Een show van de vage verhalen die Tim verteld in discord calls/ a streaming service that has everything, impossible I know but I would like that. "
